uri,prefLabel,prefLabel_en,casNumber,ecNumber,altLabel,altLabel_en,comment,definition,broader,broadMatch,collections,exactMatch,narrowMatch,notation,pubchem,source,theme,topConceptOf,inScheme,belongsTo,validatiestatus
adeidrin,Aldrin+Dieldrin+Endrin+Isodrin,,,,,,,,,,collectie:water,,chemische_stof:QBYJBZPUGVGKQQ-UHFFFAOYSA-N|chemische_stof:DFBKLUNHFCTMDC-UHFFFAOYSA-N|chemische_stof:QBYJBZPUGVGKQQ-SEIHLVFNSA-N,ADEIdrin,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c10,Alkylethoxylaat C10,,,,,,,,,,collectie:water,,,AEO C10,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c10_vertakt,Alkylethoxylaat C10 vertakt,,,,,,,,,,collectie:water,,,AEO C10 vertakt,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c11,Alkylethoxylaat C11,,,,,,,,,,collectie:water,,,AEO C11,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c11_vertakt,Alkylethoxylaat C11 vertakt,,,,,,,,,,collectie:water,,,AEO C11 vertakt,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c12,Alkylethoxylaat C12,,,,,,,,,,collectie:water,,,AEO C12,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c12_vertakt,Alkylethoxylaat C12 vertakt,,,,,,,,,,collectie:water,,,AEO C12 vertakt,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c13,Alkylethoxylaat C13,,,,,,,,,,collectie:water,,,AEO C13,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c13_vertakt,Alkylethoxylaat C13 vertakt,,,,,,,,,,collectie:water,,,AEO C13 vertakt,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c14,Alkylethoxylaat C14,,,,,,,,,,collectie:water,,,AEO C14,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c14_vertakt,Alkylethoxylaat C14 vertakt,,,,,,,,,,collectie:water,,,AEO C14 vertakt,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c15,Alkylethoxylaat C15,,,,,,,,,,collectie:water,,,AEO C15,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c15_vertakt,Alkylethoxylaat C15 vertakt,,,,,,,,,,collectie:water,,,AEO C15 vertakt,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c16,Alkylethoxylaat C16,,,,,,,,,,collectie:water,,,AEO C16,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c17,Alkylethoxylaat C17,,,,,,,,,,collectie:water,,,AEO C17,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aeo_c18,Alkylethoxylaat C18,,,,,,,,,,collectie:water,,,AEO C18,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aes,Alkylethersulfaten,,,,,,,,,,collectie:water,,,AES,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aisurf,"Surfactanten, anionische",,,,,,,,,,collectie:water,,,AISurf,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
al_comp_,Alifatische component,,,,,,,,,,collectie:water,,,Al.comp.,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alcoholen,alcoholen,,,,,,,,,,collectie:water,,,alcoholen,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alif__ox,alifatische organohalogenen; gehalogeneerde alifat,,,,,,,,,,collectie:water,,,alif. OX,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alifatenec5totec6,Alifaten EC5 tot Ec6,,,,,,,,,,,,,AlifatenEC5totEc6,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alifatengroterdanec10totec12,Alifaten groter dan EC10 tot Ec12,,,,,,,,,,,,,AlifatengroterdanEC10totEc12,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alifatengroterdanec12totec16,Alifaten groter dan EC12 tot Ec16,,,,,,,,,,,,,AlifatengroterdanEC12totEc16,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alifatengroterdanec16totec21,Alifaten groter dan EC16 tot Ec21,,,,,,,,,,,,,AlifatengroterdanEC16totEc21,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alifatengroterdanec21totec35,Alifaten groter dan EC21 tot EC35,,,,,,,,,,,,,AlifatengroterdanEC21totEC35,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alifatengroterdanec6totec8,Alifaten groter dan Ec6 tot Ec8,,,,,,,,,,,,,AlifatengroterdanEc6totEc8,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alifatengroterdanec8totec10,Alifaten groter dan EC8 tot Ec10,,,,,,,,,,,,,AlifatengroterdanEC8totEc10,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alk__gt_c13,Alkanen >C13,,,,,,,,,,collectie:water,,,Alk >C13,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alk_c,Gechloreerde alkanen C10-13,Chloroalkanes C10-13,85535-84-8,287-476-5,,"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",,,,chemische_stof:CHEMONTID_0001026,collectie:water,wise:CAS_85535-84-8,,Alk c,,zorgwekkende_stof:zorgwekkende_stof,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alk_c10-12,Alkanen C10-C12,,,,,,,,,,collectie:water,,,Alk C10-12,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alk_c10-14,Alkanen C10-C14,,,,,,,,,,collectie:water,,,Alk C10-14,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
alkanen_alkenen,Alkanen en Alkenen,,,,,,,,,,collectie:water,,,Alkanen+Alkenen,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
anionischedetergenten,Anionische detergenten,,,,,,,,,,,,,Anionischedetergenten,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
anionischeoppervlakteactievestoffen,Anionische oppervlakteactieve stoffen,,,,,,,,,,,,,Anionischeoppervlakteactievestoffen,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
anmvos_t,"Aromatische NMVOS, totaal",,,,,,,,,,collectie:water,,,ANMVOS t,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aox,Adsorbeerbare organohalogenen,,,,Adsorbeerbare organische halogeenverbindingen (AOX),,,,,,collectie:water,,,AOX,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo,Alkylfenolethoxylaat,,,,,,,,,,collectie:water,,,APEO,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
